YoYo Test Level,RPE,Time
5.1 Start,1,0.0
5.1 Finish,3,12.0
9.1 Start,3,25.0
9.1 Finish,3,37.0
11.1 Start,4,47.0
11.1 Finish,4,59.0
11.2 Start,5,68.0
11.2 Finish,5,80.0
12.1 Start,5,89.0
12.1 Finish,5,100.0
12.2 Start,5,110.0
12.2 Finish,5,120.0
12.3 Start,5,133.0
12.3 Finish,5,142.0
13.1 Start,5,151.0
13.1 Finish,6,163.0
13.2 Start,6,170.0
13.2 Finish,6,182.0
13.3 Start,7,193.0
13.3 Finish,7,203.0
13.4 Start,7,212.0
13.4 Finish,7,223.0
14.1 Start,7,233.0
14.1 Finish,7,243.0
14.2 Start,7,252.0
14.2 Finish,7,263.0
14.3 Start,7,272.0
14.3 Finish,7,285.0
