YoYo Test Level,RPE,Time
5.1 Start,2,0.0
5.1 Finish,2,12.0
9.1 Start,2,24.0
9.1 Finish,2,35.0
11.1 Start,2,45.0
11.1 Finish,2,57.0
11.2 Start,2,67.0
11.2 Finish,2,77.0
12.1 Start,2,87.0
12.1 Finish,2,97.0
12.2 Start,2,109.0
12.2 Finish,2,119.0
12.3 Start,3,128.0
12.3 Finish,3,139.0
13.1 Start,3,149.0
13.1 Finish,3,159.0
13.2 Start,3,170.0
13.2 Finish,3,180.0
13.3 Start,3,190.0
13.3 Finish,3,200.0
13.4 Start,3,211.0
13.4 Finish,3,221.0
14.1 Start,3,231.0
14.1 Finish,3,241.0
14.2 Start,3,251.0
14.2 Finish,3,260.0
14.3 Start,3,271.0
14.3 Finish,3,280.0
14.4 Start,3,291.0
14.4 Finish,3,300.0
14.5 Start,3,321.0
14.5 Finish,3,331.0
14.6 Start,3,341.0
14.6 Finish,3,350.0
14.7 Start,3,361.0
14.7 Finish,3,371.0
14.8 Start,4,381.0
14.8 Finish,4,390.0
15.1 Start,4,400.0
15.1 Finish,4,410.0
15.2 Start,4,421.0
15.2 Finish,4,431.0
15.3 Start,4,440.0
15.3 Finish,4,450.0
15.4 Start,4,461.0
15.4 Finish,4,470.0
15.5 Start,4,480.0
15.5 Finish,4,490.0
15.6 Start,5,499.0
15.6 Finish,5,510.0
15.7 Start,5,518.0
15.7 Finish,5,529.0
15.8 Start,5,538.0
15.8 Finish,5,546.0
16.1 Start,5,559.0
16.1 Finish,5,568.0
16.2 Start,5,577.0
16.2 Finish,5,585.0
16.3 Start,5,595.0
16.3 Finish,6,606.0
16.4 Start,6,616.0
16.4 Finish,6,625.0
16.5 Start,6,634.0
16.5 Finish,6,645.0
16.6 Start,6,654.0
16.6 Finish,6,664.0
16.7 Start,6,672.0
16.7 Finish,6,682.0
16.8 Start,6,692.0
16.8 Finish,6,702.0
17.1 Start,6,712.0
17.1 Finish,6,721.0
17.2 Start,6,732.0
17.2 Finish,6,740.0
17.3 Start,6,750.0
17.3 Finish,7,759.0
17.4 Start,7,769.0
17.4 Finish,7,778.0
17.5 Start,7,787.0
17.5 Finish,7,798.0
17.6 Start,7,808.0
17.6 Finish,7,816.0
17.7 Start,7,827.0
17.7 Finish,7,836.0
17.8 Start,7,846.0
17.8 Finish,7,854.0
18.1 Start,8,864.0
18.1 Finish,8,874.0
18.2 Start,8,883.0
18.2 Finish,8,892.0
18.3 Start,9,901.0
18.3 Finish,9,911.0
18.4 Start,9,921.0
18.4 Finish,9,930.0
18.5 Start,9,938.0
18.5 Finish,10,948.0
18.6 Start,10,958.0
18.6 Finish,10,966.0
18.7 Start,10,976.0
18.7 Finish,10,986.0
18.8 Start,10,995.0
18.8 Finish,10,1005.0
19.1 Start,10,1013.0
19.1 Finish,10,1023.0
19.2 Start,10,1032.0
19.2 Finish,10,1041.0
19.3 Start,10,1050.0
19.3 Finish,10,1059.0
19.4 Start,10,1070.0
19.4 Finish,10,1079.0
19.5 Start,10,1087.0
19.5 Finish,10,1097.0
19.6 Start,10,1106.0
19.6 Finish,10,1115.0
19.7 Start,10,1124.0
19.7 Finish,10,1135.0
19.8 Start,10,1143.0
19.8 Finish,10,1153.0
20.1 Start,10,1164.0
20.1 Finish,10,1170.0
