YoYo Test Level,RPE,Time
5.1 Start,1,0.0
5.1 Finish,1,42.0
9.1 Start,1,52.0
9.1 Finish,1,65.0
11.1 Start,1,75.0
11.1 Finish,1,86.0
11.2 Start,1,96.0
11.2 Finish,2,106.0
12.1 Start,2,117.0
12.1 Finish,2,127.0
12.2 Start,2,138.0
12.2 Finish,2,148.0
12.3 Start,2,158.0
12.3 Finish,3,169.0
13.1 Start,3,179.0
13.1 Finish,3,189.0
13.2 Start,3,199.0
13.2 Finish,3,209.0
13.3 Start,3,219.0
13.3 Finish,3,230.0
13.4 Start,3,242.0
13.4 Finish,3,251.0
14.1 Start,3,260.0
14.1 Finish,3,270.0
14.2 Start,3,279.0
14.2 Finish,3,290.0
14.3 Start,3,301.0
14.3 Finish,4,310.0
14.4 Start,4,320.0
14.4 Finish,4,330.0
14.5 Start,4,339.0
14.5 Finish,4,349.0
14.6 Start,4,359.0
14.6 Finish,4,369.0
14.7 Start,4,379.0
14.7 Finish,4,390.0
14.8 Start,4,399.0
14.8 Finish,4,409.0
15.1 Start,4,420.0
15.1 Finish,4,429.0
15.2 Start,5,439.0
15.2 Finish,5,449.0
15.3 Start,5,459.0
15.3 Finish,5,468.0
15.4 Start,5,479.0
15.4 Finish,5,488.0
15.5 Start,6,498.0
15.5 Finish,6,508.0
15.6 Start,6,518.0
15.6 Finish,6,528.0
15.7 Start,6,537.0
15.7 Finish,6,547.0
15.8 Start,7,558.0
15.8 Finish,7,567.0
16.1 Start,7,577.0
16.1 Finish,7,587.0
16.2 Start,7,596.0
16.2 Finish,7,606.0
16.3 Start,7,614.0
16.3 Finish,7,625.0
16.4 Start,7,634.0
16.4 Finish,8,643.0
16.5 Start,8,653.0
16.5 Finish,8,663.0
16.6 Start,8,672.0
16.6 Finish,8,682.0
16.7 Start,8,692.0
16.7 Finish,8,701.0
16.8 Start,9,712.0
16.8 Finish,9,721.0
17.1 Start,9,731.0
17.1 Finish,10,741.0
17.2 Start,10,750.0
17.2 Finish,10,759.0
17.3 Start,10,770.0
17.3 Finish,10,778.0
17.4 Start,10,788.0
17.4 Finish,10,798.0
17.5 Start,10,808.0
17.5 Finish,10,816.0
