YoYo Test Level,RPE,Time
5.1 Start,1,0.0
5.1 Finish,1,15.0
9.1 Start,1,25.0
9.1 Finish,1,38.0
11.1 Start,1,48.0
11.1 Finish,2,59.0
11.2 Start,2,69.0
11.2 Finish,3,79.0
12.1 Start,3,90.0
12.1 Finish,3,100.0
12.2 Start,3,112.0
12.2 Finish,4,120.0
12.3 Start,4,132.0
12.3 Finish,4,141.0
13.1 Start,5,152.0
13.1 Finish,5,162.0
13.2 Start,5,172.0
13.2 Finish,5,183.0
13.3 Start,6,193.0
13.3 Finish,6,203.0
13.4 Start,6,213.0
13.4 Finish,6,223.0
14.1 Start,7,233.0
14.1 Finish,7,243.0
14.2 Start,7,253.0
14.2 Finish,8,263.0
14.3 Start,8,274.0
14.3 Finish,8,284.0
14.4 Start,8,294.0
14.4 Finish,8,304.0
14.5 Start,8,312.0
14.5 Finish,8,323.0
14.6 Start,8,333.0
14.6 Finish,8,343.0
14.7 Start,8,353.0
14.7 Finish,8,363.0
14.8 Start,8,373.0
14.8 Finish,8,383.0
15.1 Start,8,393.0
15.1 Finish,8,403.0
15.2 Start,9,412.0
15.2 Finish,9,422.0
15.3 Start,9,432.0
15.3 Finish,9,442.0
15.4 Start,9,451.0
15.4 Finish,9,462.0
15.5 Start,10,471.0
15.5 Finish,10,481.0
15.6 Start,10,491.0
15.6 Finish,10,501.0
15.7 Start,10,510.0
15.7 Finish,10,521.0
15.8 Start,10,531.0
15.8 Finish,10,541.0
16.1 Start,10,549.0
16.1 Finish,10,560.0
16.2 Start,10,569.0
16.2 Finish,10,579.0
