t,Rf,VT,VE,IV,VO2,VCO2,RQ,O2exp,CO2exp,VE/VO2,VE/VCO2,VO2/Kg,METS,HR,VO2/HR,FeO2,FeCO2,FetO2,FetCO2,FiO2,FiCO2,PeO2,PeCO2,PetO2,PetCO2,Phase,Marker,Amb. Temp.,RH Amb,Device Temp.,Analyz. Press.,PB,EEkc,EEh,EEm,EEtot,EEkg,PRO,FAT,CHO,PRO%,FAT%,CHO%,npRQ,Long,Lat,GPS Altitude,Barom_Altitude,GPS Speed,GPS Dist.,Ti,Te,Ttot,Ti/Ttot,VD/VT e,LogVE,t Rel,mark Speed,mark Dist.,Step Length,Battery,Phase time,BR,O2 Cost,O2 Delay,CO2 Delay,GPS Heading,RH Sample,Cadence,Satellites,Fixing,Satellites SNR,VT/Ti,HRR,PaCO2_e
s,1/min,L(btps),L/min,mL,mL/min,mL/min,---,mL,mL,---,---,mL/min/Kg,---,bpm,mL/beat,%,%,%,%,%,%,mmHg,mmHg,mmHg,mmHg,---,---,°C,%,°C,mmHg,mmHg,kcal/day,kcal/h,kcal/min,kcal,kcal/Kg/day,kcal/day,kcal/day,kcal/day,%,%,%,---,"° ' ""","° ' """,m,m,km/h,m,s,s,s,---,---,L/min,s,m/s,m,m,%,hh:mm:ss,%,mL/Kg/m,ms,ms,DEG,%,1/min,---,---,dB,---,bpm,mmHg
716.0,64.52,0.44,28.387,468,595.7677365,503.8690128,0.85,81.1,9.8,40.1,47.4,6.85,2.0,117,5.1,18.43,2.23,17.17,3.53,20.9,0.07,131,16,122,25,NONE,,28.0,58,40.2,733,757,4144,172.7,2.88,36,47.6,0,2182,1962,0,52.6,47.4,0.85,"W001° 15' 5.5386""","N51° 45' 54.954""",62,64,13.6,0,0.42,0.51,0.93,0.45,0.28,1.453,1,0,0,1.15,61,00:11:56,76.8,0.03,1178,999,172,68,197,8,False,32,1.05,63,28
717.0,69.77,0.38,26.512,472,472.706989,386.5495921,0.82,71.5,7.0,45.8,56.0,5.43,1.6,120,3.9,18.82,1.84,17.63,3.1,20.9,0.07,134,13,125,22,NONE,,28.0,57,40.2,733,757,3267,136.1,2.27,36,37.6,0,2032,1235,0,62.2,37.8,0.82,"W001° 15' 5.5206""","N51° 45' 54.8802""",62,64,12.2,0,0.46,0.4,0.86,0.53,0.3,1.423,1,0,0,1.03,61,00:11:57,78.3,0.03,1185,999,170,69,197,8,False,32,0.83,60,25
718.0,50.42,0.931,46.941,819,1657.8258268,1404.2140383,0.85,155.9,34.5,26.2,30.9,19.06,5.4,124,13.4,16.75,3.71,15.54,5.03,20.9,0.07,119,26,110,36,NONE,,28.0,57,40.2,733,757,11535,480.6,8.01,36,132.6,0,6022,5512,0,52.2,47.8,0.85,"W001° 15' 5.5518""","N51° 45' 55.0152""",62,64,10.0,0,0.56,0.63,1.19,0.47,0.23,1.672,1,0,0,0.85,61,00:11:58,61.6,0.11,1197,999,0,69,197,8,False,29,1.66,56,38
720.0,39.47,1.185,46.776,1140,1484.7868298,1353.4865549,0.91,202.8,42.5,29.6,32.5,17.07,4.9,127,11.7,17.11,3.59,16.11,4.67,20.9,0.07,122,25,114,33,NONE,,27.9,57,40.2,733,757,10482,436.8,7.28,36,120.5,0,3164,7319,0,30.2,69.8,0.91,"W001° 15' 5.5926""","N51° 45' 55.1352""",61,64,10.3,0,0.69,0.83,1.52,0.45,0.22,1.67,2,0,0,0.87,61,00:12:00,61.7,0.1,1218,999,352,69,197,8,False,32,1.72,53,35
721.0,44.44,1.298,57.689,1215,1644.3852881,1543.0091727,0.94,226.9,43.1,33.2,35.4,18.9,5.4,131,12.6,17.48,3.32,16.39,4.42,20.9,0.07,124,24,116,31,NONE,,27.9,57,40.1,733,757,11679,486.6,8.11,36,134.2,0,2457,9222,0,21.0,79.0,0.94,"W001° 15' 5.6418""","N51° 45' 55.2648""",61,64,12.2,0,0.67,0.68,1.35,0.5,0.25,1.761,1,0,0,1.03,61,00:12:01,52.8,0.09,1240,999,349,69,197,8,False,32,1.94,49,34
722.0,41.96,1.17,49.091,1283,1147.7886899,1145.6479378,1.0,211.3,34.0,40.2,40.3,13.19,3.8,132,8.7,18.06,2.91,16.9,4.17,20.9,0.07,128,21,120,30,NONE,,27.9,57,40.1,733,757,8261,344.2,5.74,36,95.0,0,53,8208,0,0.6,99.4,1.0,"W001° 15' 5.7438""","N51° 45' 55.4898""",61,64,13.0,0,0.67,0.76,1.43,0.47,0.3,1.691,1,0,0,1.1,61,00:12:02,59.8,0.06,1247,999,346,69,197,8,False,32,1.75,48,32
724.0,44.12,1.47,64.853,1293,1670.3681444,1621.7203245,0.97,261.5,45.7,37.0,38.1,19.2,5.5,137,12.2,17.79,3.11,16.81,4.17,20.9,0.07,126,22,119,30,NONE,,27.9,56,40.2,733,757,11950,497.9,8.3,37,137.4,0,1188,10762,0,9.9,90.1,0.97,"W001° 15' 5.7648""","N51° 45' 55.545""",62,63,10.6,0,0.66,0.7,1.36,0.49,0.27,1.812,2,0,0,0.9,61,00:12:04,46.9,0.11,1243,999,346,69,197,8,False,26,2.23,43,32
726.0,31.91,2.245,71.649,2329,1772.010264,1776.1143404,1.0,401.7,69.2,39.2,39.1,20.37,5.8,144,12.3,17.89,3.08,17.12,4.1,20.9,0.07,127,22,122,29,NONE,,27.9,57,40.2,733,757,12765,531.9,8.86,37,146.7,0,0,12765,0,0.0,100.0,1.0,"W001° 15' 5.7792""","N51° 45' 55.5198""",62,63,4.7,0,0.85,1.03,1.88,0.45,0.28,1.855,2,0,0,0.84,61,00:12:06,41.3,0.26,1254,999,290,69,93,8,False,32,2.64,36,32
727.0,37.74,1.062,40.075,1140,1169.8347296,1063.6900814,0.91,185.0,35.0,32.0,35.2,13.45,3.8,149,7.9,17.42,3.3,16.28,4.31,20.9,0.07,124,23,116,31,NONE,,27.8,58,40.2,733,757,8255,343.9,5.73,37,94.9,0,2556,5698,0,31.0,69.0,0.91,"W001° 15' 5.7744""","N51° 45' 55.494""",62,63,2.0,0,0.53,1.06,1.59,0.33,0.23,1.603,1,0,0,0.3,61,00:12:07,67.2,0.4,1257,999,0,69,112,8,False,27,2.0,31,33
729.0,32.26,1.565,50.484,1480,1580.1075275,1359.0769899,0.86,269.3,52.3,30.5,35.5,18.16,5.2,153,10.3,17.21,3.34,15.89,4.64,20.9,0.07,122,24,113,33,NONE,,27.8,58,40.2,733,757,11027,459.4,7.66,37,126.7,0,5264,5762,0,47.7,52.3,0.86,"W001° 15' 5.7618""","N51° 45' 55.5156""",62,63,2.1,0,0.71,1.15,1.86,0.38,0.28,1.703,2,0,0,0.44,61,00:12:09,58.7,0.52,1268,999,0,69,80,8,False,28,2.2,27,35
731.0,29.13,1.568,45.67,1524,1625.3152733,1315.6818477,0.81,262.6,56.0,26.8,33.2,18.68,5.3,154,10.6,16.75,3.57,15.53,4.8,20.9,0.07,119,25,110,34,NONE,,27.8,58,40.2,733,757,11212,467.2,7.79,37,128.9,0,7290,3922,0,65.0,35.0,0.81,"W001° 15' 5.7498""","N51° 45' 55.5162""",62,63,1.5,0,0.93,1.13,2.06,0.45,0.25,1.66,2,0,0,,61,00:12:11,62.6,0.75,1270,999,0,69,0,8,False,27,1.69,26,36
733.0,29.41,1.558,45.824,1588,1731.9015881,1345.6406544,0.78,257.4,56.7,25.3,32.5,19.91,5.7,155,11.2,16.52,3.64,15.16,4.97,20.9,0.07,117,26,108,35,NONE,,27.8,58,40.2,733,757,11858,494.1,8.23,38,136.3,0,9026,2832,0,76.1,23.9,0.78,"W001° 15' 5.7516""","N51° 45' 55.512""",63,63,0.8,0,0.95,1.09,2.04,0.47,0.26,1.661,2,0,0,,61,00:12:13,62.5,1.49,1277,999,0,69,0,8,False,32,1.64,25,37
736.0,22.56,2.278,51.383,2434,1903.7692569,1516.3161586,0.8,377.9,83.3,26.2,32.8,21.88,6.3,154,12.4,16.59,3.66,15.45,4.8,20.9,0.07,118,26,110,34,NONE,,27.7,59,40.2,733,757,13093,545.6,9.09,38,150.5,0,9095,3999,0,69.5,30.5,0.8,"W001° 15' 5.748""","N51° 45' 55.494""",63,63,1.1,0,1.46,1.2,2.66,0.55,0.25,1.711,3,0,0,,61,00:12:16,57.9,1.19,1278,999,0,70,0,8,False,27,1.56,26,36
737.0,47.62,1.477,70.333,1458,2508.9234936,1902.6729432,0.76,247.9,49.6,26.7,35.2,28.84,8.2,153,16.4,16.78,3.36,15.69,4.34,20.9,0.07,119,24,111,31,NONE,,27.8,59,40.2,733,757,17104,712.7,11.88,38,196.6,0,14106,2998,0,82.5,17.5,0.76,"W001° 15' 5.715""","N51° 45' 55.3566""",63,63,4.8,0,0.65,0.61,1.26,0.52,0.24,1.847,1,0,0,1.54,61,00:12:17,42.4,0.36,1269,999,163,70,52,8,False,27,2.27,27,33
739.0,26.55,1.377,36.558,1318,1568.2579164,1182.4360315,0.75,219.7,55.1,22.1,29.3,18.03,5.2,153,10.3,15.95,4.0,14.21,5.6,20.9,0.07,113,28,101,40,NONE,,27.7,59,40.2,732,757,10680,445.0,7.42,39,122.8,0,8968,1713,0,84.0,16.0,0.75,"W001° 15' 5.6886""","N51° 45' 55.3182""",63,63,5.0,0,1.1,1.16,2.26,0.49,0.26,1.563,2,0,0,0.5,61,00:12:19,70.1,0.22,1272,999,163,70,166,8,False,32,1.25,27,41
741.0,53.1,1.36,72.212,1554,3031.9066818,2164.3333642,0.71,219.0,50.5,22.6,31.6,34.85,10.0,153,19.8,16.1,3.71,14.79,4.64,20.9,0.07,114,26,105,33,NONE,,27.7,59,40.2,733,757,20455,852.3,14.21,39,235.1,0,19977,478,0,97.7,2.3,0.71,"W001° 15' 5.6706""","N51° 45' 55.2558""",63,63,5.2,0,0.43,0.7,1.13,0.38,0.2,1.859,2,0,0,1.31,61,00:12:21,40.9,0.4,1246,999,174,70,66,8,False,28,3.16,27,35
741.0,67.42,1.286,86.697,1246,3022.4644448,2224.0338235,0.74,217.3,41.0,27.1,36.9,34.74,9.9,153,19.8,16.9,3.19,15.47,4.33,20.9,0.07,120,23,110,31,NONE,,27.7,59,40.2,733,757,20497,854.0,14.23,39,235.6,0,18480,2017,0,90.2,9.8,0.74,"W001° 15' 5.64""","N51° 45' 55.1664""",63,63,5.6,0,0.36,0.53,0.89,0.4,0.26,1.938,0,0,0,0.88,61,00:12:21,29.0,0.37,1229,999,171,70,106,7,False,32,3.57,27,33
744.0,27.91,1.413,39.433,1487,1718.7127917,1320.4389649,0.77,224.1,58.5,21.8,28.4,19.76,5.6,151,11.4,15.86,4.14,14.17,5.43,20.9,0.07,113,29,101,39,NONE,,27.7,59,40.2,733,757,11744,489.3,8.16,40,135.0,0,9288,2456,0,79.1,20.9,0.77,"W001° 15' 5.6136""","N51° 45' 55.1268""",62,63,7.7,0,0.53,1.62,2.15,0.25,0.22,1.596,3,0,0,0.69,61,00:12:24,67.7,0.15,1228,999,58,70,186,8,False,30,2.67,29,40
745.0,46.88,1.784,83.625,1778,3444.0066468,2423.6726012,0.7,289.1,64.1,23.3,33.1,39.59,11.3,151,22.8,16.21,3.59,14.84,4.72,20.9,0.07,115,26,105,34,NONE,,27.7,58,40.2,733,757,23181,965.9,16.1,40,266.4,0,23181,0,0,100.0,0.0,0.7,"W001° 15' 5.6214""","N51° 45' 55.1982""",62,63,7.8,0,0.65,0.63,1.28,0.51,0.25,1.922,1,0,0,0.73,61,00:12:25,31.5,0.3,1233,999,13,70,178,7,False,32,2.74,29,36
747.0,35.09,1.781,62.491,1656,2564.0828987,1918.2995506,0.75,288.1,67.7,23.4,31.3,29.47,8.4,150,17.1,16.18,3.8,14.79,5.0,20.9,0.07,115,27,105,36,NONE,,27.6,58,40.2,733,757,17438,726.6,12.11,40,200.4,0,14990,2449,0,86.0,14.0,0.75,"W001° 15' 5.6958""","N51° 45' 55.3632""",62,63,8.6,0,0.71,1.0,1.71,0.42,0.24,1.796,2,0,0,0.81,61,00:12:27,48.8,0.21,1261,999,348,70,178,7,False,32,2.51,30,37
749.0,27.27,1.687,46.009,1561,1990.8320601,1483.5378229,0.75,268.6,67.3,22.2,29.7,22.88,6.5,149,13.4,15.92,3.99,14.0,5.54,20.9,0.07,113,28,99,39,NONE,,27.6,58,40.2,733,757,13530,563.8,9.4,41,155.5,0,11767,1763,0,87.0,13.0,0.75,"W001° 15' 5.7498""","N51° 45' 55.4892""",61,64,7.9,0,0.78,1.42,2.2,0.35,0.27,1.663,2,0,0,0.74,61,00:12:29,62.3,0.17,1261,999,348,70,178,8,False,28,2.16,31,41
750.0,35.29,2.332,82.306,2368,3339.5454048,2409.0205634,0.72,379.1,84.6,23.9,33.1,38.39,11.0,148,22.6,16.26,3.63,15.19,4.72,20.9,0.07,115,26,108,34,NONE,,27.6,58,40.2,733,757,22571,940.4,15.67,41,259.4,0,21464,1106,0,95.1,4.9,0.72,"W001° 15' 5.7252""","N51° 45' 55.5246""",61,64,4.2,0,0.83,0.87,1.7,0.49,0.25,1.915,1,0,0,0.97,61,00:12:30,32.6,0.55,1271,999,0,70,72,8,False,27,2.81,32,36
752.0,39.74,1.609,63.934,1741,2282.7061044,1699.0281564,0.74,270.2,53.1,26.8,36.0,26.24,7.5,148,15.4,16.79,3.3,15.58,4.44,20.9,0.07,119,23,111,32,NONE,,27.6,58,40.2,733,757,15511,646.3,10.77,41,178.3,0,13536,1975,0,87.3,12.7,0.74,"W001° 15' 5.7306""","N51° 45' 55.5126""",61,63,2.8,0,0.73,0.78,1.51,0.48,0.26,1.806,2,0,0,,61,00:12:32,47.6,0.56,1267,999,0,70,0,8,False,27,2.2,32,34
754.0,40.27,1.535,61.812,1556,2171.9382541,1644.0663534,0.76,258.6,50.7,27.2,35.9,24.96,7.1,147,14.8,16.85,3.3,15.67,4.41,20.9,0.07,120,23,111,31,NONE,,27.5,58,40.2,733,757,14802,616.7,10.28,42,170.1,0,12278,2524,0,82.9,17.1,0.76,"W001° 15' 5.7432""","N51° 45' 55.5324""",62,63,1.8,0,0.73,0.76,1.49,0.49,0.26,1.791,2,0,0,,61,00:12:34,49.4,0.83,1256,999,342,70,0,8,False,28,2.1,33,34
755.0,41.38,1.593,65.917,1552,2328.3126216,1800.4160259,0.77,267.8,54.0,27.1,35.0,26.76,7.6,148,15.7,16.81,3.39,15.68,4.51,20.9,0.07,119,24,111,32,NONE,,27.5,58,40.2,733,757,15928,663.7,11.06,42,183.1,0,12325,3603,0,77.4,22.6,0.77,"W001° 15' 5.7696""","N51° 45' 55.5564""",62,63,2.6,0,0.68,0.77,1.45,0.47,0.25,1.819,1,0,0,0.28,61,00:12:35,46.0,0.62,1251,999,330,70,156,8,False,27,2.34,32,34
757.0,38.22,1.727,66.0,1737,2370.5740442,1823.3446919,0.77,289.2,59.2,26.7,34.7,27.25,7.8,148,16.0,16.75,3.43,15.55,4.62,20.9,0.07,119,24,110,33,NONE,,27.5,59,40.2,733,757,16201,675.1,11.25,42,186.2,0,12764,3437,0,78.8,21.2,0.77,"W001° 15' 5.7792""","N51° 45' 55.5294""",62,63,2.7,0,0.73,0.84,1.57,0.46,0.26,1.82,2,0,0,0.45,61,00:12:37,46.0,0.61,1252,999,275,70,99,8,False,32,2.37,32,35
758.0,48.78,1.254,61.171,1313,2209.9168284,1678.432272,0.76,209.8,42.7,26.1,34.4,25.4,7.3,147,15.0,16.73,3.41,15.46,4.56,20.9,0.07,119,24,110,32,NONE,,27.5,59,40.2,733,757,15070,627.9,10.46,42,173.2,0,12369,2700,0,82.1,17.9,0.76,"W001° 15' 5.7642""","N51° 45' 55.5072""",62,63,2.4,0,0.57,0.66,1.23,0.46,0.25,1.787,1,0,0,0.61,61,00:12:38,49.9,0.64,1245,999,231,70,66,8,False,26,2.2,33,35
760.0,26.91,1.504,40.466,1565,1595.3254219,1265.0539458,0.79,245.4,58.2,24.2,30.5,18.34,5.2,145,11.0,16.32,3.87,14.89,5.09,20.9,0.07,116,27,106,36,NONE,,27.5,59,40.2,733,757,10963,456.8,7.61,43,126.0,0,7746,3217,0,70.7,29.3,0.79,"W001° 15' 5.76""","N51° 45' 55.4802""",62,63,1.5,0,0.72,1.51,2.23,0.32,0.23,1.607,2,0,0,,61,00:12:40,66.9,0.73,1257,999,0,70,0,8,False,32,2.09,35,38
761.0,46.15,1.2,55.385,1218,2327.7880967,1729.9503136,0.74,192.8,46.4,22.4,30.1,26.76,7.6,145,16.1,16.07,3.87,14.92,4.79,20.9,0.07,114,27,106,34,NONE,,27.5,59,40.2,733,757,15813,658.9,10.98,43,181.8,0,13861,1952,0,87.7,12.3,0.74,"W001° 15' 5.7408""","N51° 45' 55.3722""",62,63,4.0,0,0.55,0.75,1.3,0.42,0.18,1.743,1,0,0,1.28,61,00:12:41,54.6,0.4,1250,999,171,70,52,8,False,32,2.18,35,36
762.0,61.22,1.508,92.327,1279,3533.4947367,2626.485099,0.74,248.8,53.2,24.9,33.5,40.61,11.6,145,24.4,16.5,3.53,15.0,4.71,20.9,0.07,117,25,106,33,NONE,,27.5,59,40.2,733,757,24004,1000.2,16.67,43,275.9,0,21030,2975,0,87.6,12.4,0.74,"W001° 15' 5.718""","N51° 45' 55.26""",63,63,7.2,0,0.37,0.61,0.98,0.38,0.25,1.965,1,0,0,0.66,61,00:12:42,24.4,0.34,1240,999,173,70,183,8,False,27,4.08,35,36
763.0,63.83,1.327,84.702,1363,3128.5225018,2319.544238,0.74,221.0,45.1,25.6,34.6,35.96,10.3,145,21.6,16.65,3.4,15.3,4.48,20.9,0.07,118,24,109,32,NONE,,27.5,59,40.3,733,757,21244,885.2,14.75,43,244.2,0,18748,2496,0,88.3,11.7,0.74,"W001° 15' 5.6742""","N51° 45' 55.1322""",62,64,10.9,0,0.45,0.49,0.94,0.48,0.24,1.928,1,0,0,0.99,61,00:12:43,30.6,0.2,1208,999,170,70,183,8,False,32,2.95,35,34
764.0,60.0,1.2,72.0,1256,2642.7622487,1928.0481401,0.73,200.3,39.9,25.7,35.2,30.38,8.7,145,18.2,16.69,3.32,15.26,4.56,20.9,0.07,119,24,108,32,NONE,,27.5,59,40.3,733,757,17896,745.7,12.43,44,205.7,0,16518,1378,0,92.3,7.7,0.73,"W001° 15' 5.6142""","N51° 45' 54.999""",62,64,13.3,0,0.49,0.51,1.0,0.49,0.26,1.857,1,0,0,0.96,61,00:12:44,41.0,0.14,1196,999,167,70,232,8,False,32,2.45,35,35
765.0,65.22,1.225,79.891,1272,2874.5125358,2094.7633005,0.73,205.5,39.9,26.2,36.0,33.04,9.4,147,19.6,16.78,3.26,15.43,4.39,20.9,0.07,119,23,110,31,NONE,,27.4,60,40.3,733,757,19461,810.9,13.51,44,223.7,0,18018,1444,0,92.6,7.4,0.73,"W001° 15' 5.6142""","N51° 45' 54.999""",62,64,13.3,0,0.46,0.46,0.92,0.5,0.25,1.902,1,0,0,1.11,61,00:12:45,34.6,0.15,1193,999,167,71,199,8,False,32,2.66,33,34
766.0,69.77,1.167,81.419,1240,2796.2746361,2053.8463227,0.73,197.9,36.6,27.4,37.3,32.14,9.2,148,18.9,16.96,3.14,15.54,4.35,20.9,0.07,120,22,110,31,NONE,,27.4,60,40.3,733,757,18957,789.9,13.16,44,217.9,0,17178,1779,0,90.6,9.4,0.73,"W001° 15' 5.5626""","N51° 45' 54.8886""",61,64,13.9,0,0.43,0.43,0.86,0.5,0.27,1.911,1,0,0,1.16,61,00:12:46,33.3,0.14,1188,999,166,71,199,8,False,30,2.71,32,33
767.0,73.17,0.422,30.878,1469,427.0814505,313.3007442,0.73,81.5,5.5,60.3,82.2,4.91,1.4,148,2.9,19.31,1.3,18.42,2.29,20.9,0.07,137,9,131,16,NONE,,27.4,60,40.2,732,757,2895,120.6,2.01,44,33.3,0,2632,263,0,90.9,9.1,0.73,"W001° 15' 5.5572""","N51° 45' 54.8904""",61,64,11.5,0,0.48,0.34,0.82,0.59,0.37,1.49,1,0,0,0.96,61,00:12:47,74.7,0.03,1177,999,138,71,199,8,False,29,0.88,32,20
768.0,54.55,1.535,83.727,561,3514.1108045,2617.3388387,0.74,246.7,59.4,22.7,30.5,40.39,11.5,150,23.4,16.07,3.87,14.79,4.88,20.9,0.07,114,27,105,35,NONE,,27.4,60,40.2,733,757,23881,995.0,16.58,44,274.5,0,20800,3082,0,87.1,12.9,0.74,"W001° 15' 5.5788""","N51° 45' 54.9726""",61,64,10.6,0,0.35,0.75,1.1,0.32,0.21,1.923,1,0,0,1.1,61,00:12:48,31.4,0.23,1186,999,1,71,160,8,False,30,4.39,30,37
769.0,57.69,1.603,92.481,1362,3647.2279783,2671.1100199,0.73,262.5,57.4,24.2,33.1,41.92,12.0,152,24.0,16.38,3.58,15.01,4.67,20.9,0.07,116,25,107,33,NONE,,27.4,58,40.2,733,757,24714,1029.7,17.16,45,284.1,0,22574,2140,0,91.3,8.7,0.73,"W001° 15' 5.6214""","N51° 45' 55.0938""",60,64,10.5,0,0.45,0.59,1.04,0.43,0.24,1.966,1,0,0,1.09,61,00:12:49,24.3,0.24,1196,999,349,71,160,8,False,32,3.56,28,35
770.0,66.67,1.179,78.6,1288,2776.906576,2066.336643,0.74,198.5,38.5,26.6,35.8,31.92,9.1,154,18.0,16.84,3.27,15.62,4.32,20.9,0.07,120,23,111,31,NONE,,27.4,58,40.3,733,757,18868,786.2,13.1,45,216.9,0,16478,2390,0,87.3,12.7,0.74,"W001° 15' 5.6784""","N51° 45' 55.2378""",60,64,11.6,0,0.48,0.42,0.9,0.53,0.24,1.895,1,0,0,1.21,61,00:12:50,35.6,0.17,1202,999,347,71,160,7,False,32,2.46,26,33
771.0,73.17,1.061,77.634,1102,2604.031537,1941.8192931,0.75,180.8,33.0,27.8,37.3,29.93,8.6,155,16.8,17.04,3.11,15.77,4.25,20.9,0.07,121,22,112,30,NONE,,27.4,58,40.3,733,757,17700,737.5,12.29,45,203.4,0,15362,2338,0,86.8,13.2,0.75,"W001° 15' 5.727""","N51° 45' 55.38""",59,64,14.7,0,0.44,0.38,0.82,0.54,0.26,1.89,1,0,0,1.24,61,00:12:51,36.4,0.12,1186,999,348,71,198,8,False,29,2.41,25,33
771.0,70.59,1.221,86.188,1287,2964.1966503,2174.5345803,0.73,207.0,38.3,27.4,37.4,34.07,9.7,155,19.1,16.95,3.14,15.6,4.23,20.9,0.07,120,22,111,30,NONE,,27.4,58,40.3,733,757,20091,837.1,13.95,45,230.9,0,18267,1824,0,90.9,9.1,0.73,"W001° 15' 5.781""","N51° 45' 55.506""",59,64,15.2,0,0.46,0.39,0.85,0.54,0.26,1.935,0,0,0,1.28,61,00:12:51,29.4,0.13,1175,999,346,70,198,8,False,32,2.65,25,33
782.0,45.8,2.028,92.885,1974,2821.1735116,2550.6901041,0.9,350.5,69.1,31.8,35.2,32.43,9.3,172,16.4,17.28,3.41,16.28,4.48,20.9,0.07,123,24,116,32,NONE,,27.2,60,40.3,732,757,19884,828.5,13.81,48,228.6,0,6506,13378,0,32.7,67.3,0.9,"W001° 15' 5.7858""","N51° 45' 55.437""",62,63,3.0,0,0.66,0.65,1.31,0.5,0.26,1.968,11,0,0,0.31,61,00:13:02,23.9,0.65,1193,1002,167,71,163,8,False,32,3.07,8,34
783.0,55.05,1.633,89.89,1602,2759.6942651,2493.7398692,0.9,281.6,56.2,31.2,34.5,31.72,9.1,173,16.0,17.24,3.44,15.96,4.65,20.9,0.07,122,24,113,33,NONE,,27.2,60,40.3,732,757,19449,810.4,13.51,48,223.5,0,6397,13052,0,32.9,67.1,0.9,"W001° 15' 5.7162""","N51° 45' 55.2156""",63,63,8.9,0,0.56,0.53,1.09,0.51,0.26,1.954,1,0,0,0.91,61,00:13:03,26.4,0.21,1208,1002,166,71,163,8,False,32,2.92,7,35
784.0,52.63,1.644,86.526,1806,2635.252347,2397.0362319,0.91,283.9,56.5,31.4,34.6,30.29,8.7,173,15.2,17.27,3.44,16.06,4.6,20.9,0.07,123,24,114,33,NONE,,27.2,59,40.3,733,757,18596,774.9,12.91,48,213.8,0,5737,12859,0,30.9,69.1,0.91,"W001° 15' 5.6508""","N51° 45' 55.0848""",62,63,12.4,0,0.65,0.49,1.14,0.57,0.26,1.937,1,0,0,0.93,61,00:13:04,29.1,0.15,1224,1002,165,71,223,8,False,32,2.53,7,35
785.0,57.14,1.571,89.771,1465,2917.2646181,2647.2119271,0.91,267.5,57.4,29.4,32.4,33.53,9.6,173,16.9,17.03,3.65,15.88,4.83,20.9,0.07,121,26,113,34,NONE,,27.2,59,40.3,733,757,20577,857.4,14.29,48,236.5,0,6501,14076,0,31.6,68.4,0.91,"W001° 15' 5.5956""","N51° 45' 54.9618""",61,63,14.1,0,0.57,0.48,1.05,0.54,0.24,1.953,1,0,0,1.05,61,00:13:05,26.5,0.14,1214,1002,168,71,223,8,False,30,2.76,7,36
786.0,70.59,1.439,101.576,1525,2971.7215814,2746.9364973,0.92,250.4,48.3,32.5,35.2,34.16,9.8,173,17.2,17.4,3.36,16.11,4.53,20.9,0.07,124,24,114,32,NONE,,27.2,59,40.3,733,757,21040,876.7,14.61,48,241.8,0,5432,15609,0,25.8,74.2,0.92,"W001° 15' 5.5704""","N51° 45' 54.8874""",61,63,12.8,0,0.42,0.43,0.85,0.49,0.26,2.007,1,0,0,0.96,61,00:13:06,16.8,0.16,1201,1002,170,71,223,8,False,31,3.43,7,34
787.0,65.93,1.541,101.604,1558,3012.783873,2789.816743,0.93,267.4,52.5,32.2,34.8,34.63,9.9,173,17.4,17.35,3.41,16.22,4.51,20.9,0.07,123,24,115,32,NONE,,27.1,58,40.3,732,757,21339,889.1,14.82,49,245.3,0,5390,15949,0,25.3,74.7,0.93,"W001° 15' 5.5716""","N51° 45' 54.924""",61,63,10.9,0,0.46,0.45,0.91,0.51,0.25,2.007,1,0,0,0.95,61,00:13:07,16.8,0.19,1189,1002,88,71,191,8,False,32,3.35,7,34
788.0,58.25,1.963,114.35,2001,3284.3312652,3021.0203295,0.92,342.9,64.4,33.6,36.5,37.75,10.8,174,18.9,17.47,3.28,16.36,4.3,20.9,0.07,124,23,116,31,NONE,,27.2,58,40.3,732,757,23230,967.9,16.13,49,267.0,0,6356,16874,0,27.4,72.6,0.92,"W001° 15' 5.6124""","N51° 45' 55.02""",61,63,10.3,0,0.5,0.53,1.03,0.49,0.26,2.058,1,0,0,0.9,61,00:13:08,6.4,0.22,1188,1002,1,71,191,8,False,30,3.93,6,33
789.0,58.82,1.615,95.0,1523,2857.9983216,2578.3614042,0.9,279.7,54.4,31.8,35.2,32.85,9.4,174,16.4,17.32,3.37,16.14,4.55,20.9,0.07,123,24,115,32,NONE,,27.1,58,40.3,733,757,20135,838.9,13.98,49,231.4,0,6724,13411,0,33.4,66.6,0.9,"W001° 15' 5.6532""","N51° 45' 55.1418""",61,63,10.2,0,0.53,0.49,1.02,0.52,0.26,1.978,1,0,0,1.08,61,00:13:09,22.2,0.19,1198,1002,351,71,158,8,False,32,3.05,6,35
790.0,63.83,1.441,91.979,1499,2844.1196429,2573.104381,0.9,248.1,50.0,30.8,34.0,32.69,9.3,174,16.3,17.22,3.47,16.11,4.51,20.9,0.07,122,25,114,32,NONE,,27.1,59,40.3,733,757,20048,835.3,13.92,49,230.4,0,6520,13528,0,32.5,67.5,0.9,"W001° 15' 5.697""","N51° 45' 55.2714""",60,63,12.0,0,0.47,0.47,0.94,0.5,0.23,1.964,1,0,0,1.27,61,00:13:10,24.7,0.16,1200,1002,348,71,158,8,False,30,3.07,6,34
